expansive_terme;restriktive_terme
defizitausbau;erhoehen_steuer
defizitfinanzierung;erhoehen_steuerbelastung
einfuhrumsatzsteuer_erstatten;erhoehen_steuerlast
einfuhrumsatzsteuer_verringern;erhoehen_steuersatz
einnahme_senken;erhoehen_unternehmenssteuer
entlasten;erhoehen_verbrauchssteuer
entlastung;erhoehung_abgabenlast
entlastungsvolum;erhoehung_mehrwertsteuer
erhoehen_haushaltsdefizit;erhoehung_quellensteuer
erhoehen_neuverschuldung;erhoehung_reichensteuer
erhoehen_schuldenquote;erhoehung_spitzensteuersatz
erhoehen_schuldenstand;erhoehung_steuer
erhoehen_staatsausgabe;erhoehung_steuerbelastung
erhoehen_staatsverschuldung;erhoehung_steuerlast
erhoehung_schuldenquote;erhoehung_steuersatz
erhoehung_staatsausgabe;fiskalpakt
erhoehung_staatsverschuldung;fiskalregel
erweitern_sozialhilfe;freibetrag_senken
expansiv;gering_ausgabe
foerderpaket;gering_budgetdefizit
foerderprogramm;gering_defizit
freibetrag_erhoehen;gering_haushaltsdefizit
gering_abgabenlast;gering_neuverschuldung
gering_belastung;gering_schuld
gering_besteuerung;gering_schuldenlast
gering_mehrwertsteuer;gering_schuldenquote
gering_steuer;gering_staatsschuld
gering_steuerbelastung;gering_staatsverschuldung
gering_steuereinnahme;gering_transferleistung
gering_steuerlast;gering_transferzahlung
gross_budgetdefizit;gross_abgabenlast
gross_defizit;gross_belastung
gross_haushaltsdefizit;gross_steuerlast
gross_schuld;haushaltsdefizit_abbauen
haushaltsdefizit_ausbauen;haushaltsdefizit_begrenzen
haushaltsdefizit_erhoehen;haushaltsdefizit_verringern
hilfspaket;haushaltsdisziplin
hilfsprogramm;haushaltsgesetz
hoch_ausgabe;haushaltskonsolidierung
hoch_budgetdefizit;haushaltsregel
hoch_defizit;hoch_abgabe
hoch_haushaltsdefizit;hoch_abgabenlast
hoch_neuverschuldung;hoch_belastung
hoch_schuld;hoch_besteuerung
hoch_schuldenlast;hoch_erbschaftsteuer
hoch_schuldenquote;hoch_mehrwertsteuer
hoch_staatsausgabe;hoch_steuer
hoch_staatsschuld;hoch_steuerbelastung
hoch_staatsverschuldung;hoch_steuereinnahme
hoch_transferleitung;hoch_steuerlast
hoch_transferzahlung;hoch_steuersatz
investition_ausbauen;investition_senken
investition_erhoehen;investitionsstopp
investitionsluecke;kapitalertragsteuer_einfuehren
investitionsstau;kapitalertragsteuer_erhoehen
kapitalertragsteuer_abschaffen;klein_budgetdefizit
kapitalertragsteuer_senken;klein_defizit
kaufanreiz;klein_haushaltsdefizit
keynes;konsolidierung
keynesianisch;kontraktiv
konjunkturmassnahme;kosten_erhoehen
konjunkturpaket;kuerzung_sozialhilfe
konjunkturprogramm;luftverkehrssteuer
konsum_erhoehen;mehr_belastung
konsumanreiz;mehr_sparen
konsumbereitschaft_erhoehen;mehr_steuer
konsumneigung_erhoehen;mehrwertsteuer_erhoehen
kosten_abschaffen;mehrwertsteuererhoehung
kosten_senken;nachfragesenkend
kostenentlastung;niedrig_ausgabe
kreditaufnahme;niedrig_budgetdefizit
kurzarbeit;niedrig_defizit
lohnnebenkosten_senken;niedrig_haushaltsdefizit
mehr_ausgeben;niedrig_neuverschuldung
mehr_budgetdefizit;niedrig_schuld
mehr_defizit;niedrig_schuldenlast
mehr_haushaltsdefizit;niedrig_schuldenquote
mehr_investieren;niedrig_staatsschuld
mehr_kredit;niedrig_staatsverschuldung
mehr_schuld;niedrig_transferleistung
mehr_staatsausgabe;niedrig_transferzahlung
mehr_staatsverschuldung;null_einhalten
mehr_subvention;oekosteuer
mehr_verschuldung;primaerueberschuss
mehrwertsteuer_senken;quellensteuer_einfuehren
mehrwertsteuersenkung;quellensteuer_erhoehen
nachfrage_erhoehen;reichensteuer_einfuehren
nachfragesteigernd;reichensteuer_erhoehen
nachtragshaushalt;reichensteuersatz_erhoehen
negativ_einkommenssteuer;restriktiv
neu_schuld;ruecklage
neuinvestition;rueckstellung
neuverschuldung_erhoehen;schuld_abbezahlen
niedrig_abgabe;schuld_senken
niedrig_abgabenlast;schuld_verringern
niedrig_belastung;schuld_zurueckzahlen
niedrig_besteuerung;schuldenabbau
niedrig_mehrwertsteuer;schuldenaufbau_vermeiden
niedrig_steuer;schuldenbremse_einhalten
niedrig_steuerbelastung;schuldenfrei_haushalt
niedrig_steuereinnahme;schuldengrenze_einhalten
niedrig_steuerlast;schuldenlast_senken
null_abschaffen;schuldenquote_begrenzen
null_aussetzen;schuldenquote_niedrig
oeffentlich_auftrag;schuldenquote_senken
primaerdefizit;schuldenquote_stabilisieren
progression_abschaffen;schuldenquote_verringern
quellensteuer_abschaffen;schuldenregel
quellensteuer_senken;schuldenstand_abbauen
reichensteuer_abschaffen;schuldenstand_senken
reichensteuer_senken;schuldenstand_verringern
reichensteuersatz_senken;schuldentilgung
schuld_aufnehmen;schuldlast_senken
schuld_ausbauen;senken_ausgabe
schuld_erhoehen;senken_schuldenquote
schuldenaufbau;senken_schuldenstand
schuldenaufnahme;senken_staatsausgabe
schuldenbremse_abschaffen;senken_staatsverschuldung
schuldenbremse_aussetzen;senken_transferleistung
schuldenfinanzieren;senken_transferzahlung
schuldengrenze_aussetzen;sinken_schuldenquote
schuldenlast_erhoehen;sinken_staatsausgabe
schuldenquote_ausbauen;sinken_staatsverschuldung
schuldenquote_erhoehen;soli_einfuehren
schuldenquote_hoch;soli_erhoehen
schuldenstand_ausbauen;solidaritaetszuschlag_einfuehren
schuldenstand_erhoehen;solidaritaetszuschlag_erhoehen
senken_belastung;sozialabgabe_erhoehen
senken_kosten;sozialhilfe_ausweiten
senken_mehrwertsteuer;sozialhilfe_kuerzen
senken_quellensteuer;sparanstrengung
senken_sptitzensteuersatz;sparaufforderung
senken_steuer;sparmassnahme
senken_steuerbelastung;sparpolitik
senken_steuerlast;sparprogramm
senken_steuersatz;spitzensteuersatz_erhoehen
senken_unternehmenssteuer;staatsausgabe_senken
senken_verbrauchssteuer;staatsausgabe_stabilisieren
senken_vermoegenssteuer;staatsdefizit_begrenzen
soli_abbauen;staatsverschuldung_begrenzen
soli_abschaffen;staatsverschuldung_senken
soli_reduzieren;staatsverschuldung_stabilisieren
soli_senken;staatsverschuldung_verringern
soli_streichen;stabilisierung_schuldenquote
solidaritaetszuschlag_abbauen;stabilisierung_staatsausgabe
solidaritaetszuschlag_abschaffen;stabilisierung_staatsverschuldung
solidaritaetszuschlag_senken;stabilitaetspakt
sondervermoegen;steuer_einfuehren
sozialabgabe_senken;steuer_erhoehen
sozialhilfe_ausbauen;steuer_hoch
spitzensteuersatz_senken;steuerbelastung_erhoehen
staatlich_foerdermassnahme;steuereinfuehrung
staatlich_unterstuetzung;steuereinnahme_erhoehen
staatsausgabe_erhoehen;steuererhoehung
staatsdefizit_ausbauen;steuerlast_erhoehen
staatshilfe;steuerplus
staatsverschuldung_erhoehen;steuersatz_erhoehen
steuer_abschaffen;steuerschlupfloecher_schliessen
steuer_entlastung;steuersubvention_abbauen
steuer_gering;steuersubvention_streichen
steuer_niedrig;steuerverguenstigung_abbauen
steuer_senken;steuerverguenstigung_streichen
steuer_streichen;subventionsabbau
steuerausfall;tobinsteuer_einfuehren
steuerbelastung_reduzieren;transferleistung_senken
steuerbelastung_senken;transferzahlung_senken
steuerentlastung;ueberschuss_erwirtschaften
steuererhoehung_abschaffen;umsatzsteuer_erhoehen
steuererhoehung_verzichten;unternehmenssteuer_erhoehen
steuererleichterung;verbrauchsteuer_erhoehen
steuerlast_senken;vermoegensabgabe
steuerlich_beruecksichtigen;vermoegenssteuer_erhoehen
steuersatz_senken;vermoegensteuer_erhoehen
steuersenkung;verringern_budgetdefizit
steuersubvention_einfuehren;verringern_defizit
steuersubvention_erhoehen;verringern_haushaltsdefizit
steuerverguenstigung_einfuehren;verringern_schuldenquote
steuerverguenstigung_erhoehen;verringern_staatsausgabe
stimulation;verringern_staatsverschuldung
stimulieren;verringern_verschuldung
stimulierend;verringerung_budgetdefizit
stimulus;verringerung_defizit
streichen_steuer;verringerung_haushaltsdefizit
thesaurierungsbeguenstigung;verringerung_schuldenquote
transferleistung_erhoehen;verringerung_staatsausgabe
transferzahlung_erhoehen;verringerung_staatsverschuldung
uebermaessig_defizit;verringerung_verschuldung
umsatzsteuer_senken;verschuldungsregel
unbegrenzt_defizit;vieler_ausgabe
unternehmenssteuer_senken;weniger_ausgeben
verbrauchssteuer_senken;weniger_budgetdefizit
verbrauchsteuer_senken;weniger_defizit
vermoegenssteuer_senken;weniger_haushaltsdefizit
vermoegensteuer_senken;weniger_investieren
verringern_steuer;weniger_schuld
verringerung_steuer;weniger_staatsausgabe
wenig_steuer;weniger_staatsverschuldung
weniger_belastung;weniger_subvention
weniger_sparen;weniger_verschuldung
weniger_steuer;zusatzsteuer
weniger_steuerbelastung;
wirtschaftskrise_abbremsen;
wirtschaftskrise_abwenden;
zuschuss;
