stopwords,stemmed,lemmatized
aussprache,aussprach,aussprache
auswaertigen,auswaert,auswaertigen
auswirkungen,auswirk,auswirkungen
ausserdem,ausserd,ausserdem
ausserordentlich,ausserordent,ausserordentlich
bald,bald,bald
beamten,beamt,beamten
beantragt,beantragt,beantragen
beantworten,beantwort,beantworten
bedarf,bedarf,bedarf
bedenken,bedenk,bedenken
bedeutet,bedeutet,bedeuten
bedeutung,bedeut,bedeutung
bedingungen,beding,bedingungen
befasst,befasst,befasst
beginn,beginn,beginn
begruenden,begruend,begruenden
begruendet,begruendet,begruendet
begruendung,begruend,begruendung
begruessen,begruess,begruessen
behandeln,behandeln,behandeln
behandelt,behandelt,behandeln
behandlung,behandl,behandlung
bei,bei,bei
beide,beid,beid
beiden,beid,beid
beim,beim,beim
beispiel,beispiel,beispiel
beispiele,beispiel,beispiele
beispielsweise,beispielsweis,beispielsweise
bekannt,bekannt,bekennen
bekommen,bekomm,bekommen
bemerkung,bemerk,bemerkung
bemerkungen,bemerk,bemerkungen
bemuehen,bemueh,bemuehen
bemueht,bemueht,bemueht
bemuehungen,bemueh,bemuehungen
beraten,berat,beraten
beratung,berat,beratung
beratungen,berat,beratungen
bereich,bereich,bereich
bereichen,bereich,bereichen
bereit,bereit,bereiten
bereits,bereit,bereits
bericht,bericht,bericht
berichterstatter,berichterstatt,berichterstatter
beruecksichtigt,beruecksichtigt,beruecksichtigt
beschlossen,beschloss,beschliessen
beschluss,beschluss,beschluss
beschlussempfehlung,beschlussempfehl,beschlussempfehlung
bestehen,besteh,bestehen
besteht,besteht,bestehen
bestimmt,bestimmt,bestimmen
bestimmte,bestimmt,bestimmen
bestimmten,bestimmt,bestimmen
bestimmung,bestimm,bestimmung
bestimmungen,bestimm,bestimmungen
beteiligt,beteiligt,beteiligen
beteiligten,beteiligt,beteiligen
betreiben,betreib,betreiben
betrifft,betrifft,betreffen
betroffenen,betroff,betroffen
bevoelkerung,bevoelker,bevoelkerung
bevolkerung,bevolker,bevolkerung
bevor,bevor,bevor
bewusst,bewusst,bewusst
bewusst,bewusst,bewusst
beziehungen,bezieh,beziehungen
bezueglich,bezueg,bezueglich
bin,bin,sein
bis,bis,bis
bisher,bish,bisher
bisherigen,bisher,bisherig
bisschen,bissch,bisschen
bist,bist,sein
bitte,bitt,bitte
bitten,bitt,bitten
bisschen,bissch,bisschen
bleiben,bleib,bleiben
bleibt,bleibt,bleiben
blick,blick,blick
bonn,bonn,bonn
brauchen,brauch,brauchen
braucht,braucht,brauchen
bringen,bring,bringen
bringt,bringt,bringen
buendnis,buendnis,buendnis
bundeslaender,bundesla,bundeslaender
bundeslaendern,bundesla,bundeslaendern
bundesminister,bundesminist,bundesminister
bundesministerium,bundesministerium,bundesministerium
bundesrat,bundesrat,bundesrat
bundestag,bundestag,bundestag
bundestages,bundestag,bundestages
bundnis,bundnis,bundnis
burger,burg,burger
burgerinnen,burgerinn,burgerinnen
but,but,but
bzw,bzw,bzw
cdu,cdu,cdu
chance,chanc,chance
cronenberg,cronenberg,cronenberg
csu,csu,csu
da,da,da
dabei,dabei,dabei
dadurch,dadurch,dadurch
dafuer,dafu,dafuer
dafur,dafur,dafur
dagegen,dageg,dagegen
daher,dah,daher
dahin,dahin,dahin
damals,damal,damals
damen,dam,damen
damit,damit,damit
danach,danach,danach
dank,dank,danken
dankbar,dankbar,dankbar
danke,dank,danke
dann,dann,dann
daran,daran,daran
darauf,darauf,darauf
daraus,daraus,daraus
darf,darf,duerfen
darin,darin,darin
daruber,darub,daruber
darueber,darueb,darueber
darum,darum,darum
das,das,der
dass,dass,dass
dasselbe,dasselb,derselbe
davon,davon,davon
dazu,dazu,dazu
dass,dass,dass
debatte,debatt,debatte
dehler,dehl,dehler
dein,dein,mein
deine,dein,mein
deinem,dein,mein
deinen,dein,mein
deiner,dein,sich
deines,dein,mein
dem,dem,der
dementsprechend,dementsprech,dementsprechend
demokratie,demokrati,demokratie
demokratischen,demokrat,demokratisch
demselben,demselb,derselbe
den,den,der
denen,den,der
denke,denk,denken
denken,denk,denken
denn,denn,denn
dennoch,dennoch,dennoch
denselben,denselb,derselbe
der,der,der
deren,der,der
derer,der,derer
derselbe,derselb,derselbe
derselben,derselb,derselbe
derzeit,derzeit,derzeit
des,des,der
deshalb,deshalb,deshalb
desselben,desselb,derselbe
dessen,dess,der
deswegen,desweg,deswegen
deutlich,deutlich,deutlich
dezember,dezemb,dezember
dich,dich,sich
die,die,der
diejenigen,diejen,derjenige
dienen,dien,dienen
dienst,dien,dienen
dienstag,dienstag,dienstag
dies,dies,dies
diese,dies,dies
dieselbe,dieselb,derselbe
dieselben,dieselb,derselbe
diesem,dies,dies
diesen,dies,dies
dieser,dies,dies
dieses,dies,dies
dieter,diet,dieter
dinge,ding,dinge
dingen,ding,dingen
dir,dir,sich
diskussion,diskussion,diskussion
diskutieren,diskuti,diskutieren
diskutiert,diskutiert,diskutieren
dm,dm,dm
doch,doch,doch
donnerstag,donnerstag,donnerstag
dort,dort,dort
dr,dr,dr
draussen,drauss,draussen
drei,drei,drei
dringend,dringend,dringen
dritte,dritt,dritt
dritten,dritt,dritt
drittens,dritt,drittens
drucksache,drucksach,drucksache
drucksachen,drucksach,drucksachen
du,du,du
duerfen,duerf,duerfen
durch,durch,durch
durchaus,durchaus,durchaus
durchfuehrung,durchfuehr,durchfuehrung
durchgefuehrt,durchgefuehrt,durchgefuehrt
durfen,durf,durfen
eben,eben,eben
ebene,eben,eben
ebenfalls,ebenfall,ebenfalls
ebenso,ebenso,ebenso
egal,egal,egal
ehemaligen,ehemal,ehemalig
eher,eher,eher
ehrlich,ehrlich,ehrlich
eigene,eig,eigene
eigenen,eig,eigen
eigentlich,eigent,eigentlich
ein,ein,einen
eindeutig,eindeut,eindeutig
eindruck,eindruck,eindruck
eine,ein,einen
einem,ein,einer
einen,ein,ein
einer,ein,einer
eines,ein,ein
einfach,einfach,einfach
eingebracht,eingebracht,einbringen
eingehen,eingeh,eingehen
eingehend,eingeh,eingehen
eingeraumt,eingeraumt,eingeraumt
eingesetzt,eingesetzt,einsetzen
einheit,einheit,einheit
einig,einig,einigen
einige,einig,einig
einigem,einig,einig
einigen,einig,einig
einiger,einig,einig
einiges,einig,einig
einmal,einmal,einmal
einstimmig,einstimm,einstimmig
eintreten,eintret,eintreten
einverstanden,einverstand,einverstanden
einzelne,einzeln,einzelne
einzelnen,einzeln,einzeln
einzige,einzig,einzig
ende,end,ende
endlich,endlich,endlich
enthalten,enthalt,enthalten
enthaltungen,enthalt,enthaltungen
entscheiden,entscheid,entscheiden
entscheidende,entscheid,entscheidend
entscheidung,entscheid,entscheidung
entscheidungen,entscheid,entscheidungen
entschieden,entschied,entscheiden
entsprechend,entsprech,entsprechen
entsprechende,entsprech,entsprechend
entsprechenden,entsprech,entsprechend
entspricht,entspricht,entsprechen
entstehen,entsteh,entstehen
entwicklung,entwickl,entwicklung
entwurf,entwurf,entwurf
entwurfs,entwurf,entwurfs
er,er,ich
erfahrungen,erfahr,erfahrungen
erfolg,erfolg,erfolg
erfolgen,erfolg,erfolgen
erfolgt,erfolgt,erfolgen
erforderlich,erford,erforderlich
erfuellen,erfuell,erfuellen
erfuellt,erfuellt,erfuellt
ergeben,ergeb,ergeben
ergibt,ergibt,ergeben
erhalten,erhalt,erhalten
erheben,erheb,erheben
erhebliche,erheb,erheblich
erinnern,erinn,erinnern
erkennen,erkenn,erkennen
erklaeren,erkla,erklaeren
erklaert,erklaert,erklaert
erklaerung,erklaer,erklaerung
erklaren,erklar,erklaren
erleben,erleb,erleben
erledigt,erledigt,erledigen
ermoglichen,ermog,ermoglichen
erneut,erneut,erneut
erreichen,erreich,erreichen
erreicht,erreicht,erreichen
erscheint,erscheint,erscheinen
erst,erst,erst
erste,erst,erste
ersten,erst,erst
erstens,erst,erstens
erster,erst,erst
erwaehnt,erwaehnt,erwaehnt
erwahnt,erwahnt,erwahnt
es,es,ich
etwa,etwa,etwa
etwas,etwas,etwas
euch,euch,sich
euer,euer,sich
eure,eur,mein
eurem,eur,mein
euren,eur,mein
eurer,eur,eurer
eures,eur,mein
faelle,faell,faelle
faellen,faell,faellen
fall,fall,fall
falle,fall,falle
fallen,fall,fallen
falsch,falsch,falsch
familie,famili,familie
fassung,fassung,fassung
fast,fast,fast
fdp,fdp,fdp
februar,februar,februar
ferner,fern,fern
fest,fest,fest
festgestellt,festgestellt,feststellen
feststellen,feststell,feststellen
feststellung,feststell,feststellung
festzustellen,festzustell,feststellen
finde,find,finden
finden,find,finden
findet,findet,finden
folge,folg,folgen
folgen,folg,folgen
folgende,folgend,folgend
folgendes,folgend,folgend
forderung,forder,forderung
forderungen,forder,forderungen
form,form,form
formuliert,formuliert,formulieren
forsten,forst,forsten
frage,frag,fragen
fragen,frag,fragen
fraktion,fraktion,fraktion
fraktionen,fraktion,fraktionen
frau,frau,frau
frauen,frau,frauen
freien,freien,frei
freiheit,freiheit,freiheit
freitag,freitag,freitag
freue,freu,freuen
freunde,freund,freunde
froh,froh,froh
frueher,frueh,frueher
frueheren,frueh,frueheren
fuehren,fuehr,fuehren
fuehrt,fuehrt,fuehrt
fuenf,fuenf,fuenf
fuer,fuer,fuer
fuhren,fuhr,fahren
fuhrt,fuhrt,fahren
funcke,funck,funcke
funf,funf,funf
funktioniert,funktioniert,funktionieren
fur,fur,fur
fuer,fuer,fuer
gab,gab,geben
ganz,ganz,ganz
ganze,ganz,ganze
ganzen,ganz,ganz
gar,gar,gar
geaendert,geaendert,geaendert
gebe,geb,geben
geben,geb,geben
gebiet,gebiet,gebiet
gebiete,gebiet,gebiete
gebieten,gebiet,gebieten
gebracht,gebracht,bringen
gedanken,gedank,gedanken
geehrte,geehrt,geehrt
geehrten,geehrt,geehrt
geehrter,geehrt,geehrt
gefragt,gefragt,fragen
gefuehrt,gefuehrt,gefuehrt
gefuhrt,gefuhrt,gefuhrt
gefunden,gefund,finden
gegeben,gegeb,geben
gegenprobe,gegenprob,gegenprobe
gegenteil,gegenteil,gegenteil
gegenuber,gegenub,gegenuber
gegenueber,gegenueb,gegenueber
gehabt,gehabt,haben
gehalten,gehalt,halten
gehen,geh,gehen
gehoeren,geho,gehoeren
gehoert,gehoert,gehoert
gehoren,gehor,gehoren
gehort,gehort,gehort
geht,geht,gehen
gekommen,gekomm,kommen
gelegenheit,geleg,gelegenheit
gelingt,gelingt,gelingen
gemacht,gemacht,machen
gemeinden,gemeind,gemeinden
gemeinsam,gemeinsam,gemeinsam
gemeinsame,gemeinsam,gemeinsam
gemeinsamen,gemeinsam,gemeinsam
gemeinschaft,gemeinschaft,gemeinschaft
genannt,genannt,nennen
genannten,genannt,genannt
genau,genau,genau
genauso,genauso,genauso
genommen,genomm,nehmen
gerade,gerad,gerade
gerecht,gerecht,gerecht
gern,gern,gern
gerne,gern,gerne
gerstenmaier,gerstenmai,gerstenmaier
gesagt,gesagt,sagen
geschaeftsordnung,geschaeftsordn,geschaeftsordnung
geschehen,gescheh,geschehen
geschichte,geschicht,geschichte
geschieht,geschieht,geschehen
gesehen,geseh,sehen
gesellschaft,gesellschaft,gesellschaft
gesetz,gesetz,gesetz
gesetze,gesetz,gesetze
gesetzentwurf,gesetzentwurf,gesetzentwurf
gesetzes,gesetz,gesetzes
gesetzt,gesetzt,setzen
gesichtspunkt,gesichtspunkt,gesichtspunkt
gesprochen,gesproch,sprechen
gestatten,gestatt,gestatten
gestellt,gestellt,stellen
gestern,gest,gestern
getan,getan,tun
getragen,getrag,tragen
getroffen,getroff,triefen
gewesen,gewes,sein
gewisse,gewiss,gewiss
gewissen,gewiss,gewiss
geworden,geword,werden
gewuenscht,gewuenscht,gewuenscht
gezeigt,gezeigt,zeigen
gibt,gibt,geben
gilt,gilt,gelten
ging,ging,gehen
glaube,glaub,glauben
glauben,glaub,glauben
gleich,gleich,gleichen
gleiche,gleich,gleich
gleichen,gleich,gleich
gleichermassen,gleichermass,gleichermassen
gleichzeitig,gleichzeit,gleichzeitig
gruende,gruend,gruende
gruenden,gruend,gruenden
gruenen,gruen,gruenen
grund,grund,grund
grunde,grund,grunde
grunden,grund,grunden
grundlage,grundlag,grundlage
grundsaetzlich,grundsaetz,grundsaetzlich
grundsatz,grundsatz,grundsatz
grune,grun,grune
grunen,grun,grunen
hab,hab,hab
habe,hab,habe
haben,hab,haben
haelt,haelt,haelt
haette,haett,haette
haetten,haett,haetten
halte,halt,halte
halten,halt,halten
haltung,haltung,haltung
handeln,handeln,handeln
handelt,handelt,handeln
handzeichen,handzeich,handzeichen
hat,hat,haben
hatte,hatt,haben
hatten,hatt,haben
haus,haus,haus
hause,haus,hause
hauses,haus,hauses
heisst,heisst,heisst
helfen,helf,helfen
her,her,her
heraus,heraus,heraus
herr,herr,herr
herren,herr,herren
herrn,herrn,herrn
herzlichen,herzlich,herzlich
heute,heut,heute
heutigen,heutig,heutig
hier,hier,hier
hierher,hierh,hierher
hierzu,hierzu,hierzu
hin,hin,hin
hinaus,hinaus,hinaus
hinblick,hinblick,hinblick
hingewiesen,hingewies,hinweisen
hinsichtlich,hinsicht,hinsichtlich
hinter,hint,hinter
hintergrund,hintergrund,hintergrund
hinweisen,hinweis,hinweisen
hinzu,hinzu,hinzu
hoehe,hoeh,hoehe
hoere,hoer,hoere
hoeren,hoer,hoeren
hoffe,hoff,hoffen
hoffen,hoff,hoffen
horen,hor,horen
ich,ich,ich
ihm,ihm,ich
ihn,ihn,ich
ihnen,ihn,ich
ihr,ihr,mein
ihre,ihr,mein
ihrem,ihr,mein
ihren,ihr,mein
ihrer,ihr,sich
ihres,ihr,mein
im,im,im
immer,imm,immer
immerhin,immerhin,immerhin
in,in,in
indem,ind,indem
inhalt,inhalt,inhalt
innerhalb,innerhalb,innerhalb
innern,inn,innern
ins,ins,ins
insbesondere,insbesond,insbesondere
insgesamt,insgesamt,insgesamt
insofern,insof,insofern
interesse,interess,interesse
interessen,interess,interessen
internationale,international,internationale
internationalen,international,international
inzwischen,inzwisch,inzwischen
ist,ist,sein
ja,ja,ja
jaeger,jaeg,jaeger
jahr,jahr,jahr
jahre,jahr,jahre
jahren,jahr,jahren
jahres,jahr,jahres
januar,januar,januar
je,je,je
jede,jed,jed
jedem,jed,jed
jeden,jed,jed
jedenfalls,jedenfall,jedenfalls
jeder,jed,jed
jedes,jed,jed
jedoch,jedoch,jedoch
jemand,jemand,jemand
jene,jen,jen
jenem,jen,jen
jenen,jen,jen
jener,jen,jen
jenes,jen,jen
jetzt,jetzt,jetzt
juli,juli,juli
junge,jung,junge
juni,juni,juni
kam,kam,kommen
kann,kann,koennen
kennen,kenn,kennen
kenntnis,kenntnis,kenntnis
klar,klar,klaren
klare,klar,klaren
klaren,klar,klar
kleine,klein,kleine
kleinen,klein,klein
koalition,koalition,koalition
koenne,koenn,koenne
koennen,koenn,koennen
koennte,koennt,koennte
koennten,koennt,koennten
kollege,kolleg,kollege
kollegen,kolleg,kollegen
kollegin,kollegin,kollegin
kolleginnen,kolleginn,kolleginnen
komme,komm,kommen
kommen,komm,kommen
kommenden,kommend,kommend
kommission,kommission,kommission
kommt,kommt,kommen
konkret,konkret,konkret
konnen,konn,konnen
konnte,konnt,koennen
konnten,konnt,koennen
konzept,konzept,konzept
kraft,kraft,kraft
kuenftig,kuenftig,kuenftig
kunftig,kunftig,kunftig
kurz,kurz,kurz
koennen,koenn,koennen
koennte,koennt,koennte
laengst,laeng,laengst
laesst,laesst,laesst
laesst,laesst,laesst
lange,lang,lang
langer,lang,lang
langst,lang,langen
lassen,lass,lassen
lasst,lasst,lasst
last,last,lesen
laufe,lauf,laufe
laut,laut,laut
least,least,least
leben,leb,leben
lediglich,ledig,lediglich
legen,leg,legen
legislaturperiode,legislaturperiod,legislaturperiode
leicht,leicht,leicht
leider,leid,leider
lesen,les,lesen
lesung,lesung,lesung
letzte,letzt,letzte
letzten,letzt,letzt
leute,leut,leute
liebe,lieb,lieb
lieber,lieb,lieb
liegen,lieg,liegen
liegt,liegt,liegen
linie,lini,linie
linke,link,link
linken,link,link
losen,los,losen
losung,losung,losung
machen,mach,machen
macht,macht,machen
mag,mag,moegen
mai,mai,mai
mal,mal,mal
man,man,man
manche,manch,manch
manchem,manch,manch
manchen,manch,manch
mancher,manch,manch
manches,manch,manch
manchmal,manchmal,manchmal
mann,mann,mann
mark,mark,mark
masse,mass,masse
mehrfach,mehrfach,mehrfach
mehrheit,mehrheit,mehrheit
mein,mein,meinen
meine,mein,meinen
meinem,mein,mein
meinen,mein,mein
meiner,mein,sich
meines,mein,mein
meinung,meinung,meinung
meisten,meist,meist
menschen,mensch,menschen
mich,mich,sich
mindestens,mindest,mindestens
minister,minist,minister
ministerin,ministerin,ministerin
ministerium,ministerium,ministerium
mir,mir,sich
mit,mit,mit
miteinander,miteinand,miteinander
mitglieder,mitglied,mitglieder
mittlerweile,mittlerweil,mittlerweile
mittwoch,mittwoch,mittwoch
mochte,mocht,moegen
moechte,moecht,moechte
moechten,moecht,moechten
moeglich,moeglich,moeglich
moeglicherweise,moeglicherweis,moeglicherweise
moeglichkeit,moeglich,moeglichkeit
moeglichkeiten,moeglich,moeglichkeiten
moeglichst,moeglich,moeglichst
moglich,moglich,moglich
monaten,monat,monaten
montag,montag,montag
morgen,morg,morgen
muesse,muess,muesse
muessen,muess,muessen
muesste,muesst,muesste
muessten,muesst,muessten
muss,muss,muss
mussen,muss,mussen
musste,musst,musste
mussten,musst,mussten
muss,muss,muss
musste,musst,musste
nach,nach,nach
nachdem,nachd,nachdem
nachgefragt,nachgefragt,nachfragen
nachher,nachh,nachher
nachste,nach,nachste
nachsten,nach,nachsten
nachster,nach,nachster
naechsten,naech,naechsten
naemlich,naemlich,naemlich
namen,nam,namen
namens,nam,namens
namlich,namlich,namlich
natuerlich,natu,natuerlich
naturlich,natur,naturlich
neben,neb,neben
nehme,nehm,nehmen
nehmen,nehm,nehmen
nein,nein,nein
nennen,nenn,nennen
nicht,nicht,nicht
nichts,nicht,nichts
nie,nie,nie
niemand,niemand,niemand
nimmt,nimmt,nehmen
noch,noch,noch
noetig,noetig,noetig
not,not,not
notwendig,notwend,notwendig
notwendige,notwend,notwendige
notwendigen,notwend,notwendig
notwendigkeit,notwend,notwendigkeit
november,novemb,november
nr,nr,nr
nun,nun,nun
nunmehr,nunmehr,nunmehr
nur,nur,nur
nutzen,nutz,nutzen
ob,ob,ob
obwohl,obwohl,obwohl
oder,oder,oder
of,of,of
offen,off,offen
offenbar,offenbar,offenbaren
offensichtlich,offensicht,offensichtlich
oft,oft,oft
ohne,ohn,ohne
ohnehin,ohnehin,ohnehin
ok,ok,ok
oktober,oktob,oktober
opposition,opposition,opposition
ordnung,ordnung,ordnung
ort,ort,ort
ost,ost,ost
paar,paar,paar
parl,parl,parl
parlament,parlament,parlament
parlamentarischer,parlamentar,parlamentarisch
parlaments,parlament,parlaments
partei,partei,partei
parteien,partei,parteien
passiert,passiert,passieren
pds,pds,pds
pflicht,pflicht,pflicht
plenum,plenum,plenum
position,position,position
praesident,praesident,praesident
praesidenten,praesident,praesidenten
praesidentin,praesidentin,praesidentin
praktisch,praktisch,praktisch
prasident,prasident,prasident
prasidentin,prasidentin,prasidentin
praxis,praxis,praxis
presse,press,pressen
pro,pro,pro
professor,professor,professor
programm,programm,programm
prozent,prozent,prozent
pruefen,pruef,pruefen
pruefung,pruefung,pruefung
punkt,punkt,punkt
punkte,punkt,punkte
rahmen,rahm,rahmen
rahmenbedingungen,rahmenbeding,rahmenbedingungen
raum,raum,raum
rechnen,rechn,rechnen
rechnung,rechnung,rechnung
recht,recht,recht
rede,red,rede
reden,red,reden
redezeit,redezeit,redezeit
redner,redn,redner
regelung,regel,regelung
regelungen,regel,regelungen
reicht,reicht,reichen
reihe,reih,reihe
renger,reng,renger
richtig,richtig,richtig
richtige,richtig,richtige
richtung,richtung,richtung
rolle,roll,rolle
ruecksicht,ruecksicht,ruecksicht
rufe,ruf,rufe
rund,rund,rund
sage,sag,sage
sagen,sag,sagen
sagt,sagt,sagen
sagte,sagt,sagen
sagten,sagt,sagen
samstag,samstag,samstag
satz,satz,satz
schauen,schau,schauen
scheint,scheint,scheinen
schliesslich,schliesslich,schliesslich
schluss,schluss,schluss
schluss,schluss,schluss
schnell,schnell,schnellen
schoen,schoen,schoen
schoettle,schoettl,schoettle
schon,schon,schon
schritt,schritt,schritt
schutz,schutz,schutz
sehe,seh,sehen
sehen,seh,sehen
sehr,sehr,sehr
sei,sei,sein
seien,seien,sein
sein,sein,mein
seine,sein,mein
seinem,sein,mein
seinen,sein,seinen
seiner,sein,sich
seines,sein,mein
seit,seit,seit
seitdem,seitd,seitdem
seite,seit,seite
seiten,seit,seiten
selber,selb,selber
selbst,selb,selbst
selbstverstaendlich,selbstverstaend,selbstverstaendlich
september,septemb,september
setzen,setz,setzen
setzt,setzt,setzen
sich,sich,sich
sicher,sich,sichern
sicherheit,sich,sicherheit
sicherlich,sich,sicherlich
sicht,sicht,sicht
sie,sie,ich
sieht,sieht,sehen
sind,sind,sein
sinn,sinn,sinn
sinne,sinn,sinne
sinnvoll,sinnvoll,sinnvoll
situation,situation,situation
sitzung,sitzung,sitzung
so,so,so
soeben,soeb,soeben
sofort,sofort,sofort
sogar,sogar,sogar
sogenannte,sogenannt,sogenannt
sogenannten,sogenannt,sogenannt
solche,solch,solche
solchem,solch,solch
solchen,solch,solch
solcher,solch,solch
solches,solch,solch
soll,soll,soll
sollen,soll,sollen
sollte,sollt,sollen
sollten,sollt,sollen
sondern,sond,sondern
sonntag,sonntag,sonntag
sonst,sonst,sonst
soweit,soweit,soweit
sowie,sowi,sowie
sowohl,sowohl,sowohl
sozialdemokraten,sozialdemokrat,sozialdemokraten
spaeter,spaet,spaeter
spater,spat,spater
spd,spd,spd
sprechen,sprech,sprechen
spricht,spricht,sprechen
staat,staat,staat
staaten,staat,staaten
staatsminister,staatsminist,staatsminister
staatssekretaer,staatssekreta,staatssekretaer
staatssekretar,staatssekretar,staatssekretar
staerker,staerk,staerker
stand,stand,stehen
standpunkt,standpunkt,standpunkt
statt,statt,statt
stehen,steh,stehen
steht,steht,stehen
stelle,stell,stelle
stellen,stell,stellen
stellt,stellt,stellen
stellung,stellung,stellung
stellungnahme,stellungnahm,stellungnahme
stimme,stimm,stimme
stimmen,stimm,stimmen
stimmkarte,stimmkart,stimmkarte
stimmt,stimmt,stimmen
stuck,stuck,stuck
stuecklen,stueckl,stuecklen
stunde,stund,stunden
suessmuth,suessmuth,suessmuth
system,syst,system
taetigkeit,taetig,taetigkeit
tag,tag,tag
tage,tag,tage
tagen,tag,tagen
tagesordnung,tagesordn,tagesordnung
tat,tat,tun
tatsache,tatsach,tatsache
tatsachlich,tatsach,tatsachlich
tatsaechlich,tatsaech,tatsaechlich
teil,teil,teil
teilen,teil,teilen
teilweise,teilweis,teilweise
the,the,the
thema,thema,thema
themen,them,themen
tragen,trag,tragen
treffen,treff,treffen
treten,tret,treten
trotz,trotz,trotzen
trotzdem,trotzd,trotzdem
tun,tun,tun
tut,tut,tun
uber,uber,uber
uberhaupt,uberhaupt,uberhaupt
ubrigen,ubrig,ubrigen
ubrigens,ubrig,ubrigens
ueber,ueb,ueber
ueberhaupt,ueberhaupt,ueberhaupt
ueberlegen,ueberleg,ueberlegen
ueberlegungen,ueberleg,ueberlegungen
ueberzeugt,ueberzeugt,ueberzeugt
ueberzeugung,ueberzeug,ueberzeugung
uebrigen,uebrig,uebrigen
uebrigens,uebrig,uebrigens
uhr,uhr,uhr
um,um,um
umdruck,umdruck,umdruck
umfang,umfang,umfang
umgesetzt,umgesetzt,umsetzen
umsetzung,umsetz,umsetzung
umstaenden,umstaend,umstaenden
umwelt,umwelt,umwelt
unbedingt,unbedingt,unbedingt
und,und,und
union,union,union
unmoeglich,unmoeg,unmoeglich
uns,uns,sich
unser,uns,sich
unsere,uns,mein
unserem,uns,mein
unseren,uns,mein
unserer,uns,mein
unseres,uns,mein
unter,unt,unter
unterhalten,unterhalt,unterhalten
unterschied,unterschied,unterscheiden
usw,usw,usw
verehrte,verehrt,verehren
verehrten,verehrt,verehren
vereinbart,vereinbart,vereinbart
verfahren,verfahr,verfahren
verfuegung,verfueg,verfuegung
verfugung,verfug,verfugung
vergangenen,vergang,vergangen
vergangenheit,vergang,vergangenheit
vergessen,vergess,vergessen
vergleich,vergleich,vergleich
verhaeltnis,verhaeltnis,verhaeltnis
verhaeltnisse,verhaeltnis,verhaeltnisse
verhalten,verhalt,verhalten
verhandlungen,verhandl,verhandlungen
verhindern,verhind,verhindern
verlangen,verlang,verlangen
verlangt,verlangt,verlangen
verordnung,verordn,verordnung
verpflichtet,verpflichtet,verpflichten
verpflichtung,verpflicht,verpflichtung
verschiedenen,verschied,verschieden
verstaendnis,verstaendnis,verstaendnis
verstanden,verstand,verstehen
verstehen,versteh,verstehen
versuch,versuch,versuch
versuchen,versuch,versuchen
versucht,versucht,versuchen
vertrag,vertrag,vertrag
vertreten,vertret,vertreten
vertreter,vertret,vertreter
verwaltung,verwalt,verwaltung
verwiesen,verwies,verweisen
viel,viel,viel
viele,viel,viel
vielen,viel,viel
vieles,viel,viel
